Jaksotus 2026-2027;Kurre 7.37.2.1
Helsingin normaalilyseo;12.03.2026 20:27
;Viikkotunnit

-;Periodi 1;Periodi 2;Periodi 3;Periodi 4;Periodi 5;Yht.;Ryhmä/palkki;;Koko;
;;;5;;;5;5:;UE01.2;3;
;;;;5;;5;3:;UE01.3;1;
;;5;;;;5;5:;UE02.1;11;
;;;;5;;5;4:;UE02.2;6;
;;;;;5;5;2:;UE02.3;9;
;5;;;;;5;3:;UE03.1;1;
;;;5;;;5;3:;UE04.1;1;
;;5;;;;5;6:;UE05.1;9;
;;;;5;;5;7:;UE06.1;3;
;;;5;;;5;3:;UE07.1;3;
;1,67;;;;;1,67;9:;UE08.1;49;
;;;;5;;5;4:;UO01.1;0;
;;;;;5;5;6:;UO02.1;0;
;;;;5;;5;5:;VEB21.1;0;
;;;;;5;5;7:;VEB22.1;0;
;5;;;;;5;1:;VEB23.1;0;
;;5;;;;5;8:;VEB24.1;0;
;;;5;;;5;8:;VEB25.1;0;
;;;;5;;5;7:;VEB26.1;0;
;;5;;;;5;3:;VEB31.1;1;
;;;5;;;5;3:;VEB32.1;0;
;;;;5;;5;5:;VEB33.1;0;
;;;;;5;5;7:;VEB34.1;0;
;5;;;;;5;1:;VEB35.1;0;
;;5;;;;5;8:;VEB36.1;0;
;;;5;;;5;8:;VEB37.1;0;
;;;;5;;5;7:;VEB38.1;0;
;;5;;;;5;5:;YH01.1;1;
;;5;;;;5;1:;YH01.2;17;
;;;5;;;5;7:;YH01.3;1;
;;;5;;;5;2:;YH02.1;4;
;;;;5;;5;6:;YH02.2;0;
;;;;;5;5;2:;YH02.3;4;
;;;5;;;5;2:;YH02.4;4;
;5;;;;;5;7:;YH03.1;38;
;5;;;;;5;7:;YH03.2;33;
;;;;5;;5;4:;YH03.3;3;
;;5;;;;5;5:;YH04.1;6;
;;;;5;;5;1:;YH04.2;19;
;5;;;;;5;4:;YH06.1;15;
;;5;;;;5;8:;YH07.1;15;
;5;;;;;5;8:;YH08.1;11;
;;;5;;;5;8:;YH08.2;6;
;5;;;;;5;4:;ÄI01.1;0;
;5;;;;;5;1:;ÄI01.2;0;
;5;;;;;5;6:;ÄI01.3;0;
;5;;;;;5;6:;ÄI02.1;18;
;5;;;;;5;2:;ÄI02.2;26;
;5;;;;;5;4:;ÄI02.3;25;
;;5;;;;5;1:;ÄI03.1;1;
;;5;;;;5;3:;ÄI03.2;0;
;;;5;;;5;5:;ÄI03.3;0;
;;;5;;;5;4:;ÄI03.4;0;
;;;;5;;5;6:;ÄI04.1;0;
;;;;5;;5;2:;ÄI04.2;0;
;;;;;5;5;4:;ÄI04.3;0;
;5;;;;;5;3:;ÄI05.1;38;
;5;;;;;5;4:;ÄI05.2;12;
;;5;;;;5;5:;ÄI05.3;25;
;5;;;;;5;6:;ÄI06.1;0;
;5;;;;;5;2:;ÄI06.2;0;
;5;;;;;5;4:;ÄI06.3;0;
;;5;;;;5;1:;ÄI07.1;0;
;;5;;;;5;3:;ÄI07.2;0;
;;;5;;;5;5:;ÄI07.3;0;
;;;5;;;5;4:;ÄI07.4;0;
;;;;5;;5;2:;ÄI08.1;17;
;;;;;5;5;1:;ÄI08.2;14;
;;;;;5;5;5:;ÄI08.3;40;
;;5;;;;5;8:;ÄI09.1;22;
;;;;5;;5;4:;ÄI09.2;15;
;;5;;;;5;8:;ÄI09.3;3;
;;;5;;;5;2:;ÄI10.1;12;
;;;5;;;5;3:;ÄI10.2;23;
;;;5;;;5;5:;ÄI10.3;18;
;;5;;;;5;5:;ÄI11.1;25;
;;5;;;;5;4:;ÄI11.2;26;
;;5;;;;5;2:;ÄI11.3;0;
;;;;5;;5;7:;ÄI12.1;12;
;;5;;;;5;7:;ÄI12.2;26;
;;;5;;;5;5:;ÄI12.3;24;
;;;;;;;;;;
;483,33;486,67;456,67;368,33;326,67;2121,67;;;;
;;;;;;424,33;jaksossa (ka.);;;
